Data,Hora,Primeiro Número,Operação,Segundo Número,Resultado
03/11/2024,16:56:40,2.0,ADICAO,2.0,4.0
03/11/2024,16:56:41,2.0,,4.0,4.0
03/11/2024,16:56:42,4.0,ADICAO,5.0,9.0
03/11/2024,16:56:43,4.0,,9.0,9.0
03/11/2024,16:56:44,9.0,SUBTRACAO,6.0,3.0
03/11/2024,16:56:45,9.0,,3.0,3.0
03/11/2024,16:56:45,3.0,MULTIPLICACAO,9.0,27.0
03/11/2024,16:56:47,3.0,,27.0,27.0
03/11/2024,16:56:48,27.0,DIVISAO,3.0,9.0
03/11/2024,16:56:49,27.0,,9.0,9.0
03/11/2024,16:56:50,9.0,EXPONENCIACAO,2.0,81.0
03/11/2024,16:56:52,81.0,RAIZ,,9.0
03/11/2024,16:56:54,9.0,,9.0,9.0
03/11/2024,16:56:55,9.0,PORCENTAGEM,2.0,0.18
03/11/2024,16:57:01,9.0,,0.183,0.183
03/11/2024,16:57:04,0.183,ADICAO,3.25,3.433
